Statement_id,Category,Technology_Bucket,Organization,Title
SIH260528,Hardware,Robotics and Drones,Government of Odisha,Disaster Response Drone for Remote Areas
SIH260529,Software,Smart Education,Government of Odisha,Gamified Learning Platform for Rural Education
SIH260530,Software,MedTech / BioTech / HealthTech,Government of Odisha,Al-Driven Public Health Chatbot for Disease Awareness
SIH260531,Software,Transportation & Logistics,Government of Odisha,Smart Traffic Management Systern for Urban Congestion
SIH260532,Hardware,Renewable / Sustainable Energy,Government of Odisha,Renewable Energy Monitoring System for Microgrids
SIH260533,Software,Heritage & Culture,Government of Odisha,AR-Based Cultural Heritage Preservation Platform
SIH260534,Hardware,"Agriculture, FoodTech & Rural Development","Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Improved Onion storage technology for enhancing shelf life of onions
SIH260535,Hardware,Smart Automation,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated High-Current Short-Circuit Test System for MCB to comply with IEC 60898- 1:2015
SIH260536,Hardware,Miscellaneous,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated Specimen Preparation System for testing of Cable samples as per IS 10810 and IS 7098.
SIH260537,Hardware,Miscellaneous,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",To explore new/altermative assaying methods to the fire assay method for testing of gold jewellery and artefacts through non-destructive testing
SIH260538,Hardware,Miscellaneous,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Automated Compliance Checker for Legal Metrology Declarations on E-Commerce Platforms
SIH260539,Hardware,Miscellaneous,"Ministry of Consumer Affairs, Food & Public Distribution (MoCA,F&PD)",Detection and Prevention of Tampering in Weighing and Measuring instruments
SIH260540,Software,Miscellaneous,Ministry of Social Justice & Empowerment (MoSJE),Enhancing Student Awareness on difference between Aadhaar linked and Direct Beneficiary Transfer(DBT) enabled Aadhaar seeded bank account.
SIH260541,Software,Clean & Green Technology,Ministry of Social Justice & Empowerment (MoSJE),Real life solutions for Waste Management.
SIH260542,Software,Travel & Tourism,Government of Sikkim,Digitize and Showcase Monasteries of Sikkim for Tourism and Cultural Preservation
SIH260543,Hardware,"Agriculture, FoodTech & Rural Development",Government of Sikkim,Implementation of Smart Agriculture for Efficient Cultivation in Hilly Regions
SIH260544,Hardware,Disaster Management,Government of Kerala,Developing a cost effective solution for detecting the breakage of Low Voltage AC Distribution Over Head conductors
SIH260545,Hardware,Renewable / Sustainable Energy,Government of Kerala,Improving the Renewable Energy hosting capacity in Distribution Feeders improving the Power quality of Distribution network during high RE injection
SIH260546,Software,Smart Automation,Ministry of Jal Shakti,Designing and development of an application for on spot assessment of Roof Top Rain water harvesting and artificial recharge potential and size of the RTRWH and AR.
SIH260547,Software,Smart Automation,Ministry of Jal Shakti,Development of an Al-driven ChatBOT for INGRES as a virtuall assistant
SIH260548,Software,Miscellaneous,Ministry of Jal Shakti,Proposal for Design and development of application or Heavy Metal Pollution indices
SIH260549,Software,Miscellaneous,Ministry of Jal Shakti,Real time Groundwater resource evaluation using DWLR data
SIH260550,Software,Miscellaneous,Ministry of Mines,Al-Driven Life Cycle Assessment (LCA) Tool for Advancing Circulanty and Sustainability in Metallurgy and Mining
SIH260551,Software,Miscellaneous,Ministry of Mines,Secure Data Wiping for Trustworthy IT Asset Recycling
SIH260552,Software,Disaster Management,Ministry of Mines,Al-Based Rockfall Prediction and Alert System for Open-Pit Mines
SIH260553,Hardware,Renewable / Sustainable Energy,Ministry of Mines,Design and Implementation of Solar- Powered Dewatering in Mining Operations.
SIH260554,Software,Fitness & Sports,Ministry of Youth Affairs and Sports,Al-Powered Mobile Platform for Democratizing Sports Talent Assessment
SIH260555,Software,"Agriculture, FoodTech & Rural Development",Government of Kerala,AI-Powered Personal Farming Assistant for Kerala Farmers
SIH260556,Software,"Agriculture, FoodTech & Rural Development",Government of Kerala,Gamified Platform to Promote Sustainable Farming Practices
SIH260557,Software,"Agriculture, FoodTech & Rural Development",Government of Kerala,AI-Based Farmer Query Support and Advisory System
SIH260558,Hardware,Smart Automation,Government of Kerala,A hardware that can detect and prevent unauthorized use of electric fences
SIH260559,Software,Disaster Management,Government of Kerala,Software other than a circuit breaker that can be used to detect and turn off LT lines when the line breaks
SIH260560,Software,Smart Automation,Government of Kerala,Document Overload at Kochi Metro Rail Limited (KMRL)-An automated solution
SIH260561,Software,Smart Automation,Government of Kerala,AI-Driven Train Induction Planning & Scheduling for Kochi Metro Rail Limited (KMRL)
SIH260562,Software,Travel & Tourism,Government of Kerala,Development of a travel related software app that can be installed on mobile phones that could capture trip related information
SIH260563,Software,MedTech / BioTech / HealthTech,Government of Kerala,Digital Health Record Management System for migrant workers in Kerala aligned with sustainable development goals.
SIH260564,Hardware,Disaster Management,Government of Kerala,Earthquake stabilised dialysis system for patient safety during seismic events.
SIH260565,Hardware,Miscellaneous,Government of Kerala,Solution for NON-REVENUE LOSS IN WATER SUPPLY Solution to improve AWARENESS IN WATER CONSERVATION TREATMENT OF WASTE WATER AND REUSE FOR DOMESTIC PURPOSES
SIH260566,Hardware,Clean & Green Technology,Government of Kerala,GREY WATER MANAGEMENT AND REUSE WET LAND MANAGEMENT WATER CONSERVATION
SIH260567,Software,Smart Automation,Government of Jammu and Kashmir,AI-Based Timetable Generation System aligned with NEP 2020 for Multidisciplinary Education Structures
SIH260568,Software,MedTech / BioTech / HealthTech,Government of Jammu and Kashmir,Development of a Digital Mental Health and Psychological Support System for Students in Higher Education
SIH260569,Software,Smart Education,Government of Jammu and Kashmir,Centralised Digital Platform for Comprehensive student activity record in HEIs
SIH260570,Software,Smart Education,Government of Jammu and Kashmir,One-Stop Personalized Career & Education Advisor
SIH260571,Hardware,Smart Education,Autodesk,"Research and redesign a sport equipment commonly found in sport industry and utilize Fusion software to reimagine its design. Students can use Fusion Features such as Generative Design, Topology Optimization, Additive Build etc. The redesigned component should showcase innovation, enhanced functionality, and improved efficiency, all while being optimized for 3D printing."
SIH260572,Hardware,Smart Education,Autodesk,"• Students are supposed to use Fusion software to generate NC code with machine details & tool library for any industrial component. • Students should possess technical skills in areas such as CAD/CAM software, G-code programming, toolpath optimization, and machining fundamentals. Additionally, their project ideas should demonstrate a viable solution to a real-world problem, ensuring feasibility and practicality in implementation."
SIH260573,Software,Smart Education,Autodesk,Research and develop a design on autonomous small precision focused machine for planting crops or weeding.
SIH260574,Software,Smart Education,Autodesk,"Students are tasked with designing a 4- story commercial office building using Revit Architecture and Revit Structure , ensuring effective integration between architectural and structural models in a BIM environment.(The size of the plot can be assumed by the students, all the dimensions wherever necessary can be assumed by students in mm units.)"
SIH260575,Software,"Agriculture, FoodTech & Rural Development",MathWorks India Pvt. Ltd.,"AI-powered monitoring of crop health, soil condition, and pest risks using multispectral/hyperspectral imaging and sensor data."
SIH260576,Software,Transportation & Logistics,MathWorks India Pvt. Ltd.,Accelerating High-Fidelity Road Network Modeling for Indian Traffic Simulations.
SIH260577,Software,Smart Education,Government of Rajasthan,Remote classroom for rural colleges
SIH260578,Software,Smart Automation,Government of Rajasthan,AI-based drop-out prediction and counseling system
SIH260579,Software,Smart Automation,Government of Rajasthan,ERP-based Integrated Student Management system
SIH260580,Software,Smart Education,Government of Rajasthan,Language Agnostic Chatbot
SIH260581,Software,Heritage & Culture,AICTE,"Develop computer programs (in any language, preferably Python) to identify the design principles behind the Kolam designs and recreate the kolams."
